ASN,Entity
15003,"Leaseweb USA, Inc."
15083,"Infolink Global Corporation"
15085,"Immedion, LLC"
15133,"MCI Communications Services, Inc. d/b/a Verizon Business"
15148,"Blackbaud, Inc."
15149,"Access Integrated Technologies, Inc."
15169,"Google Cloud"
15189,"HostVentures.com, Inc."
15216,"Hostway Corporation"
15348,"Tucows.com Co."
15388,"OMCnet Internet Service GmbH"
15395,"RACKSPACE-LON, GB"
15401,"Business &amp; Decision Interactive Eolas SRL"
15456,"InterNetX GmbH"
15497,"Colocall"
15510,"Compuweb Communications Services Limited"
15598,"IP Exchange GmbH"
15611,"Iranian Research Organization for Science &amp; Technology"
15626,"ITLAS, UA"
15657,"Speedbone Internet &amp; Connectivity GmbH"
15685,"CASABLANCA INT a.s."
15694,"ATM S.A."
15699,"OGIC Informatica S.L."
15703,"True B.V."
15734,"IDH, ES"
15817,"Mittwald CM Service GmbH und Co. KG"
15826,"NFrance Conseil"
15830,"Equinix Connect"
15879,"KPN Internedservices"
15919,"Servicios de Hosting en Internet S.A."
15922,"Qweb Internet Services B.V."
15954,"Tecnocratica Centro de Datos, S.L."
15967,"Nazwa.pl Sp.z.o.o."
15987,"Portunity GmbH"
16125,"CHERRYSERVERS1-AS, LT"
16247,"M247 Ltd, Metronet (UK) Limited & Venus Business Communications Ltd trading as M247"
16262,"DELTA-LTD-AS, RU"
16276,"OVH, FR"
16284,"UNSPECIFIED, NG"
16312,"NO | SURFSAFE-AS, NO"
16347,"ADISTA SAS"
16371,"acens Technologies, S.L."
16509,"AMAZON-02 - Amazon.com, Inc., US"
16535,"Echostar Holding Purchasing Corporation"
16550,"US | Google LLC | google.com"
16556,"TotalChoice Hosting, LLC"
16578,"Lanset America Corporation"
16625,"Akamai"
16628,"DEDICATED-FIBER-COMMUNICATIONS - DedFiberCo, US"
16862,"Kansas Hosting, LLC"
16973,"Corporacion Hostarica S.A."
17018,"Quality Technology Services, LLC"
17019,"JCHost Internet Services, LLC"
17048,"US | AWKNET-LLC"
17054,"CONTINENTAL BROADBAND PENNSYLVANIA, INC."
17139,"Corporate Colocation Inc."
17216,"DC74-AS - DC74 LLC, US"
17312,"ID | TERNETCONNEC,ZA"
17393,"SERVERGRID - The Aldridge Company, US"
17408,"AboveNet Communications Taiwan"
17439,"Netmagic Datacenter Mumbai"
17440,"AU | SAANET-AS-ID PT Sinar Alam Abadi, ID"
17444,"AS number for New World Telephone Ltd."
17470,"Hutchison Telecommunications Lanka (Private) Limited"
17501,"WorldLink Communications Pvt Ltd"
17514,"Otsuka Corp."
17589,"GABIA Inc."
17669,"INFOPLEX Hosting and Managed Service Provider Asia Pacific"
